id,faculty_name,lecture_name,register,passed
10406,教育学部,情報科教育法I,"{1,NULL,NULL,NULL,2}","{1,NULL,NULL,NULL,2}"
10407,教育学部,情報科教育法II,"{1,2,NULL,NULL,3}","{1,1,NULL,NULL,3}"
10408,教育学部,情報学I,"{64,60,64,61,64}","{63,60,64,57,63}"
10409,教育学部,情報学II,"{57,53,50,44,56}","{50,48,34,33,48}"
10410,教育学部,情報資源組織演習I,"{18,18,9,18,35}","{11,14,8,15,32}"
10411,教育学部,情報資源組織演習II,"{14,21,11,23,31}","{10,13,10,19,29}"
10412,教育学部,情報資源組織論,"{26,17,17,23,35}","{17,15,12,17,28}"
10413,教育学部,心理学概論,"{33,38,38,46,NULL}","{31,36,28,28,NULL}"
10414,教育学部,心理学統計実習A(心理学統計法),"{19,34,25,27,NULL}","{16,28,23,16,NULL}"
10415,教育学部,心理学統計実習B(心理学統計法),"{23,29,25,16,NULL}","{19,21,21,13,NULL}"
10416,教育学部,心理実習,"{18,2,NULL,NULL,NULL}","{18,2,NULL,NULL,NULL}"
10417,教育学部,図書館サービス概論,"{20,20,10,18,44}","{14,16,7,13,23}"
10418,教育学部,図書館概論,"{24,41,18,38,48}","{18,31,14,25,36}"
10419,教育学部,図書館情報学演習I,"{2,1,NULL,NULL,NULL}","{1,1,NULL,NULL,NULL}"
10420,教育学部,図書館情報学演習II,"{1,NULL,NULL,NULL,3}","{1,NULL,NULL,NULL,0}"
10421,教育学部,図書館情報学専門ゼミナールI,"{1,NULL,NULL,NULL,2}","{1,NULL,NULL,NULL,2}"
10422,教育学部,図書館情報学専門ゼミナールII,"{1,1,2,1,2}","{1,1,2,1,2}"
10423,教育学部,図書館情報学特講I,"{20,NULL,10,4,15}","{19,NULL,6,2,10}"
10424,教育学部,図書館情報技術論,"{34,NULL,NULL,NULL,49}","{27,NULL,NULL,NULL,44}"
10425,教育学部,図書館情報資源概論,"{37,NULL,NULL,NULL,59}","{32,NULL,NULL,NULL,42}"
10426,教育学部,図書館制度・経営論,"{21,21,16,15,31}","{18,18,13,10,25}"
10427,教育学部,数学科教育法I,"{44,41,36,50,57}","{28,34,32,40,46}"
10428,教育学部,数学科教育法II,"{40,31,23,46,49}","{34,23,21,40,37}"
10429,教育学部,生涯学習概論II,"{75,NULL,NULL,NULL,106}","{60,NULL,NULL,NULL,84}"
10430,教育学部,生涯学習支援論I,"{37,NULL,NULL,NULL,NULL}","{31,NULL,NULL,NULL,NULL}"
10431,教育学部,生涯学習支援論II,"{45,NULL,NULL,NULL,NULL}","{36,NULL,NULL,NULL,NULL}"
10432,教育学部,生徒指導と進路指導の理論と方法I,"{79,73,NULL,NULL,NULL}","{69,68,NULL,NULL,NULL}"
10433,教育学部,生徒指導と進路指導の理論と方法II,"{81,34,NULL,NULL,NULL}","{69,25,NULL,NULL,NULL}"
10434,教育学部,生徒指導の精神と具体的方策,"{14,59,107,180,167}","{10,50,87,147,141}"
10435,教育学部,生徒指導論,"{32,40,100,175,147}","{27,35,94,158,131}"
10436,教育学部,西洋史学講義,"{9,14,NULL,NULL,NULL}","{7,12,NULL,NULL,NULL}"
10437,教育学部,相関教育システム論基礎演習IA,"{28,29,NULL,18,18}","{25,28,NULL,17,18}"
10438,教育学部,相関教育システム論基礎演習IB,"{16,21,NULL,22,26}","{15,19,NULL,19,26}"
10439,教育学部,相関教育システム論基礎演習IIA,"{9,17,NULL,12,4}","{8,14,NULL,11,4}"
10440,教育学部,相関教育システム論基礎演習IIB,"{6,13,NULL,7,11}","{5,10,NULL,4,9}"
10441,教育学部,相関教育システム論基礎演習III,"{28,17,NULL,18,8}","{20,15,NULL,15,8}"
10442,教育学部,相関教育システム論講読演習I,"{21,NULL,NULL,NULL,24}","{20,NULL,NULL,NULL,21}"
10443,教育学部,相関教育システム論講読演習II,"{1,6,NULL,NULL,9}","{1,5,NULL,NULL,9}"
10444,教育学部,相関教育システム論講読演習III,"{12,13,13,19,22}","{11,12,13,18,19}"
10445,教育学部,総合的な学習および特別活動の指導法I,"{118,151,NULL,NULL,NULL}","{80,107,NULL,NULL,NULL}"
10446,教育学部,総合的な学習および特別活動の指導法II,"{76,65,NULL,NULL,NULL}","{59,48,NULL,NULL,NULL}"
10447,教育学部,卒業論文,"{69,59,74,69,71}","{64,53,73,69,71}"
10448,教育学部,知覚心理学講義,"{11,4,5,7,7}","{10,4,4,4,3}"
10449,教育学部,知的障害児教育方法論,"{10,NULL,NULL,NULL,NULL}","{4,NULL,NULL,NULL,NULL}"
10450,教育学部,地理歴史科教育法,"{1,10,27,34,28}","{1,9,22,22,21}"
10451,教育学部,聴覚障害児教育総論I,"{15,NULL,NULL,NULL,NULL}","{13,NULL,NULL,NULL,NULL}"
10452,教育学部,聴覚障害児教育総論II,"{6,NULL,NULL,NULL,NULL}","{5,NULL,NULL,NULL,NULL}"
10453,教育学部,聴覚障害者の心理・生理・病理,"{17,NULL,NULL,NULL,NULL}","{14,NULL,NULL,NULL,NULL}"
10454,教育学部,哲学概論,"{18,21,32,19,NULL}","{15,12,22,10,NULL}"
10455,教育学部,東洋史学講義,"{13,7,NULL,NULL,NULL}","{11,5,NULL,NULL,NULL}"
10456,教育学部,道徳教育論,"{115,140,63,92,126}","{87,92,51,72,94}"
10457,教育学部,特別活動の理論と実践,"{19,39,104,189,162}","{10,31,80,145,106}"
10458,教育学部,特別支援教育,"{72,84,NULL,NULL,NULL}","{60,74,NULL,NULL,NULL}"
10459,教育学部,特別支援教育(障害者・障害児心理学),"{49,84,NULL,NULL,NULL}","{43,79,NULL,NULL,NULL}"
10460,教育学部,特別支援教育実習,"{3,2,1,2,1}","{3,2,1,2,1}"
10461,教育学部,読書と豊かな人間性,"{16,NULL,NULL,NULL,28}","{8,NULL,NULL,NULL,21}"
10462,教育学部,日本史学講義,"{4,12,NULL,NULL,NULL}","{2,9,NULL,NULL,NULL}"
10463,教育学部,認知デザイン特論,"{12,6,14,16,16}","{10,6,6,5,13}"
10464,教育学部,認知心理学特論IX,"{3,NULL,NULL,2,5}","{3,NULL,NULL,1,3}"
10465,教育学部,認知心理学特論VII(神経・生理心理学),"{1,2,NULL,NULL,NULL}","{0,2,NULL,NULL,NULL}"
10466,教育学部,脳神経科学特論(神経・生理心理学),"{24,NULL,NULL,NULL,NULL}","{22,NULL,NULL,NULL,NULL}"
10467,教育学部,発達科学基礎演習,"{10,15,8,15,NULL}","{10,15,8,15,NULL}"
10468,教育学部,発達科学研究I,"{3,NULL,NULL,NULL,NULL}","{2,NULL,NULL,NULL,NULL}"
10469,教育学部,発達科学講読演習,"{7,11,10,15,7}","{7,11,10,15,7}"
10470,教育学部,発達科学専門ゼミナールI,"{10,10,NULL,9,9}","{10,9,NULL,9,9}"
10471,教育学部,発達科学専門ゼミナールII,"{10,8,NULL,10,6}","{9,7,NULL,10,6}"
10472,教育学部,発達科学特論III,"{1,NULL,NULL,3,NULL}","{1,NULL,NULL,3,NULL}"
10473,教育学部,発達心理学講義(発達心理学),"{11,11,6,9,NULL}","{7,9,3,7,NULL}"
10474,教育学部,発達臨床心理学実習,"{4,NULL,4,11,6}","{4,NULL,4,9,6}"
10475,教育学部,比較教育学演習I,"{10,7,5,11,NULL}","{10,7,5,11,NULL}"
10476,教育学部,比較教育学概論I,"{105,125,87,114,28}","{90,111,66,89,20}"
10477,教育学部,比較教育学概論II,"{41,38,32,18,26}","{35,34,23,10,18}"
10478,教育学部,比較教育学講読演習,"{7,5,NULL,NULL,5}","{6,4,NULL,NULL,4}"
10479,教育学部,比較教育学専門ゼミナール,"{15,6,NULL,7,11}","{15,6,NULL,7,10}"
10480,教育学部,比較教育学特論I,"{5,10,2,5,8}","{4,8,1,4,5}"
10481,教育学部,比較教育学特論II,"{4,4,1,4,3}","{3,3,0,1,3}"
10482,教育学部,比較教育学特論III,"{3,NULL,NULL,NULL,1}","{2,NULL,NULL,NULL,1}"
10483,教育学部,比較心理学講義,"{12,7,7,13,NULL}","{7,3,4,12,NULL}"
10484,教育学部,文化社会学,"{1,NULL,19,9,21}","{1,NULL,14,9,13}"
10485,教育学部,文化政策学概論,"{6,17,13,22,NULL}","{4,12,11,12,NULL}"
10486,教育学部,文化政策学専門ゼミナール,"{2,NULL,NULL,NULL,NULL}","{1,NULL,NULL,NULL,NULL}"
10487,教育学部,理科教育法I,"{33,46,36,40,51}","{30,35,27,34,48}"
10488,教育学部,理科教育法II,"{30,31,36,42,42}","{25,26,34,38,38}"
10489,教育学部,臨床教育学演習I,"{4,NULL,NULL,NULL,7}","{3,NULL,NULL,NULL,4}"
10490,教育学部,臨床教育学演習II,"{9,NULL,NULL,NULL,1}","{7,NULL,NULL,NULL,1}"
10491,教育学部,臨床教育学基礎演習I,"{10,16,19,20,30}","{9,13,19,16,25}"
10492,教育学部,臨床教育学基礎演習II,"{7,29,27,29,27}","{6,24,22,27,21}"
10493,教育学部,臨床教育学専門ゼミナールI,"{8,NULL,NULL,NULL,20}","{8,NULL,NULL,NULL,10}"
10494,教育学部,臨床教育学専門ゼミナールII,"{9,NULL,NULL,NULL,23}","{8,NULL,NULL,NULL,21}"
10495,教育学部,臨床教育人間学演習I,"{2,5,NULL,NULL,1}","{1,3,NULL,NULL,1}"
10496,教育学部,臨床教育人間学特論II,"{2,NULL,NULL,1,NULL}","{2,NULL,NULL,1,NULL}"
10497,教育学部,臨床心理学課題演習(心理的アセスメント),"{17,21,14,19,NULL}","{15,19,12,18,NULL}"
10498,教育学部,臨床心理学概論I,"{70,NULL,NULL,NULL,80}","{61,NULL,NULL,NULL,67}"
10499,教育学部,臨床心理学概論II(心理学的支援法),"{41,NULL,NULL,NULL,NULL}","{31,NULL,NULL,NULL,NULL}"
10500,教育学部,臨床心理学研究法演習A,"{15,11,17,13,NULL}","{14,11,17,12,NULL}"
10501,教育学部,臨床心理学研究法演習B,"{11,10,17,11,NULL}","{11,8,15,11,NULL}"
10502,教育学部,臨床心理学講読演習A,"{9,13,8,26,NULL}","{9,11,6,21,NULL}"
10503,教育学部,歴史社会学I,"{3,NULL,NULL,2,4}","{3,NULL,NULL,2,3}"
10504,法学部,アメリカ政治,"{141,186,192,197,213}","{78,118,111,108,134}"
10505,法学部,ドイツ法,"{43,138,98,138,92}","{32,107,71,81,56}"
10506,法学部,ミクロ経済学1,"{21,42,16,30,28}","{4,9,1,8,1}"
10507,法学部,ミクロ経済学2,"{9,11,8,13,16}","{2,0,1,2,1}"
10508,法学部,ローマ法,"{49,64,43,19,33}","{14,34,22,8,11}"
10509,法学部,英米法概論,"{32,32,37,54,73}","{5,23,15,26,42}"
10510,法学部,演習(アメリカ政治),"{26,25,8,17,20}","{19,25,5,15,18}"
10511,法学部,演習(ドイツ法),"{9,NULL,3,8,7}","{9,NULL,2,8,6}"
10512,法学部,演習(ローマ法),"{3,5,6,5,NULL}","{3,4,6,5,NULL}"
10513,法学部,演習(刑事学),"{18,NULL,NULL,NULL,NULL}","{17,NULL,NULL,NULL,NULL}"
10514,法学部,演習(刑事訴訟法),"{16,7,9,7,23}","{15,7,9,7,22}"
10515,法学部,演習(刑法),"{71,76,69,51,37}","{68,74,59,49,34}"
10516,法学部,演習(経済法),"{28,31,35,51,52}","{26,26,30,50,52}"
10517,法学部,演習(憲法),"{65,49,54,42,35}","{62,49,53,41,32}"
10518,法学部,演習(行政学),"{14,18,13,10,15}","{9,13,11,10,15}"
10519,法学部,演習(行政法),"{44,41,41,64,44}","{42,35,38,60,42}"
10520,法学部,演習(国際機構法),"{4,4,8,8,13}","{4,3,5,6,10}"
10521,法学部,演習(国際私法),"{4,1,2,3,5}","{3,1,2,2,4}"
10522,法学部,演習(国際取引法),"{11,14,15,10,18}","{11,14,14,9,18}"
10523,法学部,演習(国際政治学),"{16,16,17,24,23}","{16,15,16,23,20}"
10524,法学部,演習(国際政治経済分析),"{9,11,9,7,17}","{6,8,6,6,15}"
10525,法学部,演習(国際法),"{9,16,4,19,15}","{9,16,4,18,14}"
10526,法学部,演習(社会保障法),"{22,5,10,10,11}","{22,4,9,7,11}"
10527,法学部,演習(商法),"{97,109,89,94,88}","{93,108,87,86,85}"
10528,法学部,演習(政治過程論),"{4,7,4,10,18}","{3,7,4,9,17}"
10529,法学部,演習(政治原論),"{16,7,11,11,20}","{12,4,10,6,13}"
10530,法学部,演習(政治史),"{13,9,12,11,10}","{13,9,12,10,10}"
